StaNum	Year	Month	Day	Value
59294	1963	8	18	50
59294	1963	8	19	108
59294	1963	8	20	111
59294	1963	8	21	105
59294	1963	8	22	87
59294	1963	8	23	14
59294	1963	8	24	108
59294	1963	8	25	108
59294	1963	8	26	79
59294	1963	8	27	88
59294	1963	8	28	110
59294	1963	8	29	89
59294	1963	8	30	44
59294	1963	8	31	99
59294	1963	9	1	85
59294	1963	9	2	93
59294	1963	9	3	106
59294	1963	9	4	100
59294	1963	9	5	79
59294	1963	9	6	31
59294	1963	9	7	0
59294	1963	9	8	10
59294	1963	9	9	78
59294	1963	9	10	110
59294	1963	9	11	105
59294	1963	9	12	86
59294	1963	9	13	80
59294	1963	9	14	0
59294	1963	9	15	0
59294	1963	9	16	0
59294	1963	9	17	0
59294	1963	9	18	27
59294	1963	9	19	104
59294	1963	9	20	60
59294	1963	9	21	95
59294	1963	9	22	96
59294	1963	9	23	85
59294	1963	9	24	0
59294	1963	9	25	0
59294	1963	9	26	94
59294	1963	9	27	53
59294	1963	9	28	72
59294	1963	9	29	77
59294	1963	9	30	85
59294	1963	10	1	75
59294	1963	10	2	66
59294	1963	10	3	75
59294	1963	10	4	78
59294	1963	10	5	19
59294	1963	10	6	75
59294	1963	10	7	70
59294	1963	10	8	99
59294	1963	10	9	97
59294	1963	10	10	21
59294	1963	10	11	0
59294	1963	10	12	0
59294	1963	10	13	20
59294	1963	10	14	58
59294	1963	10	15	80
59294	1963	10	16	0
59294	1963	10	17	30
59294	1963	10	18	101
59294	1963	10	19	99
59294	1963	10	20	93
59294	1963	10	21	102
59294	1963	10	22	97
59294	1963	10	23	102
59294	1963	10	24	71
59294	1963	10	25	90
59294	1963	10	26	88
59294	1963	10	27	0
59294	1963	10	28	0
59294	1963	10	29	64
59294	1963	10	30	98
59294	1963	10	31	97
59294	1963	11	1	94
59294	1963	11	2	89
59294	1963	11	3	37
59294	1963	11	4	67
59294	1963	11	5	75
59294	1963	11	6	95
59294	1963	11	7	79
59294	1963	11	8	62
59294	1963	11	9	4
59294	1963	11	10	5
59294	1963	11	11	15
59294	1963	11	12	9
59294	1963	11	13	22
59294	1963	11	14	0
59294	1963	11	15	27
59294	1963	11	16	0
59294	1963	11	17	0
59294	1963	11	18	0
59294	1963	11	19	4
59294	1963	11	20	96
59294	1963	11	21	97
59294	1963	11	22	92
59294	1963	11	23	85
59294	1963	11	24	28
59294	1963	11	25	90
59294	1963	11	26	6
59294	1963	11	27	93
59294	1963	11	28	91
59294	1963	11	29	93
59294	1963	11	30	84
59294	1963	12	1	6
59294	1963	12	2	18
59294	1963	12	3	24
59294	1963	12	4	88
59294	1963	12	5	91
59294	1963	12	6	14
59294	1963	12	7	83
59294	1963	12	8	76
59294	1963	12	9	61
59294	1963	12	10	12
59294	1963	12	11	60
59294	1963	12	12	91
59294	1963	12	13	93
59294	1963	12	14	90
59294	1963	12	15	91
59294	1963	12	16	31
59294	1963	12	17	89
59294	1963	12	18	87
59294	1963	12	19	85
59294	1963	12	20	90
59294	1963	12	21	91
59294	1963	12	22	88
59294	1963	12	23	16
59294	1963	12	24	35
59294	1963	12	25	0
59294	1963	12	26	74
59294	1963	12	27	72
59294	1963	12	28	94
59294	1963	12	29	82
59294	1963	12	30	29
59294	1963	12	31	0
